2026-06-13 06:45:41,140 | INFO | Bulk Upserting 100 records
2026-06-13 06:45:43,457 | INFO | Bulk Upserting 100 records
2026-06-13 06:45:45,566 | INFO | Bulk Upserting 100 records
2026-06-13 06:45:47,698 | INFO | Bulk Upserting 100 records
2026-06-13 06:45:49,702 | INFO | Bulk Upserting 100 records
2026-06-13 06:45:51,886 | INFO | Bulk Upserting 100 records
2026-06-13 06:45:54,027 | INFO | Bulk Upserting 100 records
2026-06-13 06:45:56,100 | INFO | Bulk Upserting 100 records
2026-06-13 06:45:58,712 | INFO | Bulk Upserting 100 records
2026-06-13 06:46:00,988 | INFO | Bulk Upserting 100 records
2026-06-13 06:46:03,429 | INFO | Bulk Upserting 100 records
2026-06-13 06:46:05,718 | INFO | Bulk Upserting 100 records
2026-06-13 06:46:08,326 | INFO | Bulk Upserting 100 records
2026-06-13 06:46:10,452 | INFO | Bulk Upserting 100 records
2026-06-13 06:46:12,414 | INFO | Bulk Upserting 100 records
2026-06-13 06:46:14,342 | INFO | Bulk Upserting 100 records
2026-06-13 06:46:16,560 | INFO | Bulk Upserting 100 records
2026-06-13 06:46:18,648 | INFO | Bulk Upserting 100 records
2026-06-13 06:46:20,543 | INFO | Bulk Upserting 100 records
2026-06-13 06:46:22,842 | INFO | Bulk Upserting 100 records
2026-06-13 06:46:24,809 | INFO | Bulk Upserting 100 records
2026-06-13 06:46:26,743 | INFO | Bulk Upserting 100 records
2026-06-13 06:46:28,752 | INFO | Bulk Upserting 100 records
2026-06-13 06:46:30,927 | INFO | Bulk Upserting 100 records
2026-06-13 06:46:32,874 | INFO | Bulk Upserting 100 records
2026-06-13 06:46:35,097 | INFO | Bulk Upserting 100 records
2026-06-13 06:46:37,757 | INFO | Bulk Upserting 100 records
2026-06-13 06:46:39,920 | INFO | Bulk Upserting 100 records
2026-06-13 06:46:42,003 | INFO | Bulk Upserting 99 records
2026-06-13 06:46:44,061 | INFO | Bulk Upserting 100 records
2026-06-13 06:46:46,002 | INFO | Bulk Upserting 100 records
2026-06-13 06:46:47,999 | INFO | Bulk Upserting 99 records
2026-06-13 06:46:50,049 | INFO | Bulk Upserting 100 records
2026-06-13 06:46:52,099 | INFO | Bulk Upserting 100 records
2026-06-13 06:46:54,161 | INFO | Bulk Upserting 100 records
2026-06-13 06:46:56,116 | INFO | Bulk Upserting 100 records
2026-06-13 06:46:58,123 | INFO | Bulk Upserting 100 records
2026-06-13 06:47:00,348 | INFO | Bulk Upserting 100 records
2026-06-13 06:47:02,360 | INFO | Bulk Upserting 100 records
2026-06-13 06:47:04,333 | INFO | Bulk Upserting 100 records
2026-06-13 06:47:06,357 | INFO | Bulk Upserting 100 records
2026-06-13 06:47:08,689 | INFO | Bulk Upserting 100 records
2026-06-13 06:47:10,684 | INFO | Bulk Upserting 100 records
2026-06-13 06:47:12,830 | INFO | Bulk Upserting 100 records
2026-06-13 06:47:14,923 | INFO | Bulk Upserting 100 records
2026-06-13 06:47:17,010 | INFO | Bulk Upserting 100 records
2026-06-13 06:47:18,993 | INFO | Bulk Upserting 100 records
2026-06-13 06:47:21,171 | INFO | Bulk Upserting 100 records
2026-06-13 06:47:23,062 | INFO | Bulk Upserting 100 records
2026-06-13 06:47:25,196 | INFO | Bulk Upserting 100 records
2026-06-13 06:47:27,465 | INFO | Bulk Upserting 100 records
2026-06-13 06:47:29,623 | INFO | Bulk Upserting 100 records
2026-06-13 06:47:31,951 | INFO | Bulk Upserting 100 records
2026-06-13 06:47:34,021 | INFO | Bulk Upserting 100 records
2026-06-13 06:47:35,973 | INFO | Bulk Upserting 100 records
2026-06-13 06:47:37,966 | INFO | Bulk Upserting 100 records
2026-06-13 06:47:39,930 | INFO | Bulk Upserting 100 records
2026-06-13 06:47:42,150 | INFO | Bulk Upserting 100 records
2026-06-13 06:47:44,322 | INFO | Bulk Upserting 100 records
2026-06-13 06:47:46,504 | INFO | Bulk Upserting 100 records
2026-06-13 06:47:48,698 | INFO | Bulk Upserting 100 records
2026-06-13 06:47:50,755 | INFO | Bulk Upserting 100 records
2026-06-13 06:47:52,956 | INFO | Bulk Upserting 100 records
2026-06-13 06:47:55,078 | INFO | Bulk Upserting 100 records
2026-06-13 06:47:57,241 | INFO | Bulk Upserting 100 records
2026-06-13 06:47:59,297 | INFO | Bulk Upserting 100 records
2026-06-13 06:48:01,603 | INFO | Bulk Upserting 100 records
2026-06-13 06:48:04,110 | INFO | Bulk Upserting 100 records
2026-06-13 06:48:06,465 | INFO | Bulk Upserting 100 records
2026-06-13 06:48:08,839 | INFO | Bulk Upserting 100 records
2026-06-13 06:48:11,203 | INFO | Bulk Upserting 100 records
2026-06-13 06:48:13,478 | INFO | Bulk Upserting 100 records
2026-06-13 06:48:15,652 | INFO | Bulk Upserting 100 records
2026-06-13 06:48:17,732 | INFO | Bulk Upserting 100 records
2026-06-13 06:48:19,866 | INFO | Bulk Upserting 100 records
2026-06-13 06:48:22,034 | INFO | Bulk Upserting 100 records
2026-06-13 06:48:24,110 | INFO | Bulk Upserting 100 records
2026-06-13 06:48:27,397 | INFO | Bulk Upserting 100 records
2026-06-13 06:48:32,242 | INFO | Bulk Upserting 99 records
2026-06-13 06:48:37,187 | INFO | Bulk Upserting 100 records
2026-06-13 06:48:42,254 | INFO | Bulk Upserting 100 records
2026-06-13 06:48:47,046 | INFO | Bulk Upserting 100 records
2026-06-13 06:48:51,630 | INFO | Bulk Upserting 100 records
2026-06-13 06:48:56,184 | INFO | Bulk Upserting 100 records
2026-06-13 06:49:00,904 | INFO | Bulk Upserting 100 records
2026-06-13 06:49:05,116 | INFO | Bulk Upserting 100 records
2026-06-13 06:49:09,421 | INFO | Bulk Upserting 100 records
2026-06-13 06:49:13,852 | INFO | Bulk Upserting 100 records
2026-06-13 06:49:18,289 | INFO | Bulk Upserting 100 records
2026-06-13 06:49:22,799 | INFO | Bulk Upserting 100 records
2026-06-13 06:49:27,083 | INFO | Bulk Upserting 100 records
2026-06-13 06:49:31,377 | INFO | Bulk Upserting 100 records
2026-06-13 06:49:35,637 | INFO | Bulk Upserting 100 records
2026-06-13 06:49:40,041 | INFO | Bulk Upserting 100 records
2026-06-13 06:49:44,354 | INFO | Bulk Upserting 100 records
2026-06-13 06:49:48,797 | INFO | Bulk Upserting 100 records
2026-06-13 06:49:53,336 | INFO | Bulk Upserting 100 records
2026-06-13 06:49:57,773 | INFO | Bulk Upserting 100 records
2026-06-13 06:50:02,169 | INFO | Bulk Upserting 100 records
2026-06-13 06:50:06,651 | INFO | Bulk Upserting 100 records
2026-06-13 06:50:11,564 | INFO | Bulk Upserting 100 records
2026-06-13 06:50:16,113 | INFO | Bulk Upserting 100 records
2026-06-13 06:50:20,528 | INFO | Bulk Upserting 100 records
2026-06-13 06:50:24,912 | INFO | Bulk Upserting 100 records
2026-06-13 06:50:29,259 | INFO | Bulk Upserting 100 records
2026-06-13 06:50:33,586 | INFO | Bulk Upserting 100 records
2026-06-13 06:50:37,962 | INFO | Bulk Upserting 100 records
2026-06-13 06:50:42,379 | INFO | Bulk Upserting 100 records
2026-06-13 06:50:47,070 | INFO | Bulk Upserting 100 records
2026-06-13 06:50:52,081 | INFO | Bulk Upserting 100 records
2026-06-13 06:50:56,609 | INFO | Bulk Upserting 100 records
2026-06-13 06:51:01,451 | INFO | Bulk Upserting 100 records
2026-06-13 06:51:06,334 | INFO | Bulk Upserting 100 records
2026-06-13 06:51:12,195 | INFO | Bulk Upserting 100 records
2026-06-13 06:51:17,347 | INFO | Bulk Upserting 100 records
2026-06-13 06:51:21,894 | INFO | Bulk Upserting 100 records
2026-06-13 06:51:26,539 | INFO | Bulk Upserting 100 records
2026-06-13 06:51:31,731 | INFO | Bulk Upserting 100 records
2026-06-13 06:51:36,815 | INFO | Bulk Upserting 100 records
2026-06-13 06:51:43,435 | INFO | Bulk Upserting 100 records
2026-06-13 06:51:48,859 | INFO | Bulk Upserting 100 records
2026-06-13 06:51:54,348 | INFO | Bulk Upserting 100 records
2026-06-13 06:51:59,787 | INFO | Bulk Upserting 100 records
2026-06-13 06:52:05,961 | INFO | Bulk Upserting 100 records
2026-06-13 06:52:11,479 | INFO | Bulk Upserting 100 records
2026-06-13 06:52:15,942 | INFO | Bulk Upserting 100 records
2026-06-13 06:52:20,456 | INFO | Bulk Upserting 100 records
2026-06-13 06:52:25,090 | INFO | Bulk Upserting 100 records
2026-06-13 06:52:29,500 | INFO | Bulk Upserting 100 records
2026-06-13 06:52:34,174 | INFO | Bulk Upserting 100 records
2026-06-13 06:52:38,522 | INFO | Bulk Upserting 100 records
2026-06-13 06:52:42,979 | INFO | Bulk Upserting 100 records
2026-06-13 06:52:48,071 | INFO | Bulk Upserting 100 records
2026-06-13 06:52:53,053 | INFO | Bulk Upserting 100 records
2026-06-13 06:52:58,337 | INFO | Bulk Upserting 100 records
2026-06-13 06:53:03,235 | INFO | Bulk Upserting 100 records
2026-06-13 06:53:08,122 | INFO | Bulk Upserting 100 records
2026-06-13 06:53:13,259 | INFO | Bulk Upserting 100 records
2026-06-13 06:53:18,615 | INFO | Bulk Upserting 100 records
2026-06-13 06:53:25,277 | INFO | Bulk Upserting 100 records
2026-06-13 06:53:30,868 | INFO | Bulk Upserting 100 records
2026-06-13 06:53:35,589 | INFO | Bulk Upserting 100 records
2026-06-13 06:53:40,441 | INFO | Bulk Upserting 100 records
2026-06-13 06:53:44,549 | INFO | Bulk Upserting 100 records
2026-06-13 06:53:48,462 | INFO | Bulk Upserting 100 records
2026-06-13 06:53:52,320 | INFO | Bulk Upserting 100 records
2026-06-13 06:53:56,509 | INFO | Bulk Upserting 100 records
2026-06-13 06:54:00,448 | INFO | Bulk Upserting 100 records
2026-06-13 06:54:04,453 | INFO | Bulk Upserting 100 records
2026-06-13 06:54:08,449 | INFO | Bulk Upserting 100 records
2026-06-13 06:54:12,508 | INFO | Bulk Upserting 100 records
2026-06-13 06:54:16,537 | INFO | Bulk Upserting 100 records
2026-06-13 06:54:20,788 | INFO | Bulk Upserting 100 records
2026-06-13 06:54:24,802 | INFO | Bulk Upserting 100 records
2026-06-13 06:54:29,110 | INFO | Bulk Upserting 100 records
2026-06-13 06:54:33,123 | INFO | Bulk Upserting 100 records
2026-06-13 06:54:37,394 | INFO | Bulk Upserting 100 records
2026-06-13 06:54:41,445 | INFO | Bulk Upserting 100 records
2026-06-13 06:54:45,711 | INFO | Bulk Upserting 100 records
2026-06-13 06:54:49,786 | INFO | Bulk Upserting 100 records
2026-06-13 06:54:54,021 | INFO | Bulk Upserting 100 records
2026-06-13 06:54:57,962 | INFO | Bulk Upserting 100 records
2026-06-13 06:55:01,987 | INFO | Bulk Upserting 100 records
2026-06-13 06:55:06,036 | INFO | Bulk Upserting 100 records
2026-06-13 06:55:10,018 | INFO | Bulk Upserting 100 records
2026-06-13 06:55:14,048 | INFO | Bulk Upserting 100 records
2026-06-13 06:55:18,093 | INFO | Bulk Upserting 100 records
2026-06-13 06:55:22,241 | INFO | Bulk Upserting 100 records
2026-06-13 06:55:26,292 | INFO | Bulk Upserting 100 records
2026-06-13 06:55:30,371 | INFO | Bulk Upserting 100 records
2026-06-13 06:55:34,377 | INFO | Bulk Upserting 100 records
2026-06-13 06:55:38,625 | INFO | Bulk Upserting 100 records
2026-06-13 06:55:42,669 | INFO | Bulk Upserting 100 records
2026-06-13 06:55:47,581 | INFO | Bulk Upserting 100 records
2026-06-13 06:55:52,409 | INFO | Bulk Upserting 100 records
2026-06-13 06:55:57,277 | INFO | Bulk Upserting 100 records
2026-06-13 06:56:02,471 | INFO | Bulk Upserting 100 records
2026-06-13 06:56:07,105 | INFO | Bulk Upserting 100 records
2026-06-13 06:56:10,313 | INFO | Bulk Upserting 100 records
2026-06-13 06:56:14,858 | INFO | Bulk Upserting 100 records
2026-06-13 06:56:19,092 | INFO | Bulk Upserting 100 records
